Uniprot Accession;Description;Gene name;IBAQ Amount in Ref2824 , fmol/ug yeast protein;Abundance Ratio: (S1) / (Ref2824);Abundance Ratio: (S2) / (Ref2824);Abundance Ratio: (S3) / (Ref2824);Abundance Ratio: (S4) / (Ref2824);Abundance Ratio: (S5) / (Ref2824);Abundance Ratio: (S6) / (Ref2824);Sequence Coverage [%];Identified Peptides;PSMs;Identified Unique Peptides;MW [kDa]
Q08960;S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TYW1 PE=1 SV=1;TYW1;3,61E-01;0,461;0,494;0,476;0,521;0,533;0,524;17;14;19;14;89,7
P32347;Uroporphyrinogen decarboxylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HEM12 PE=1 SV=1;HEM12;5,23E-01;1,287;1,354;1,261;1,44;1,491;1,547;37;13;19;13;41,3
Q08548;Lysophospholipid acyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALE1 PE=1 SV=1;ALE1;4,14E-01;2,524;2,332;2,468;2,741;2,999;2,964;21;12;19;12;72,2
P36123;SIT4-associating protein SAP190 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SAP190 PE=1 SV=2;SAP190;5,87E-01;0,75;0,736;0,76;0,742;0,795;0,788;21;16;19;16;117
Q04175;Importin beta SMX1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SXM1 PE=1 SV=1;SXM1;1,08E+00;0,864;0,835;0,841;0,871;0,917;0,898;17;14;19;14;108,3
P32790;Actin cytoskeleton-regulatory complex protein SLA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SLA1 PE=1 SV=1;SLA1;2,99E-01;0,805;0,801;0,827;0,885;0,91;0,935;16;15;19;15;135,8
P32492;Myosin-4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MYO4 PE=1 SV=1;MYO4;2,06E-01;1,033;1,038;1,087;1,099;1,114;1,1;14;18;19;14;169,2
P40064;Nucleoporin NUP157 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NUP157 PE=1 SV=1;NUP157;3,03E-01;0,62;0,623;0,636;0,684;0,717;0,709;13;15;19;15;156,6
Q06839;PX domain-containing protein YPR097W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPR097W PE=1 SV=2;;1,52E-01;1,184;1,113;1,115;1,233;1,233;1,252;13;15;19;15;123
P52918;Protein MSN5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MSN5 PE=1 SV=1;MSN5;2,82E-01;0,761;0,771;0,763;0,689;0,704;0,703;12;13;19;12;142
P47008;Phosphatidylinositol transfer protein SFH5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SFH5 PE=1 SV=1;SFH5;2,21E+00;0,607;0,624;0,624;0,661;0,687;0,704;39;12;19;12;34,4
Q06489;Methylthioribose-1-phosphate isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRI1 PE=1 SV=1;MRI1;8,88E-01;1,095;1,132;1,107;1,217;1,236;1,259;32;12;19;12;45
P52891;Nucleoporin NUP84 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NUP84 PE=1 SV=1;NUP84;4,87E-01;0,816;0,822;0,839;0,893;0,941;0,906;30;17;19;17;83,6
P51996;GTP-binding protein YPT32/YPT11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPT32 PE=1 SV=3;YPT32;;2,8;2,923;2,869;3,064;3,209;3,057;47;10;19;3;24,5
P25037;Ubiquitin carboxyl-terminal hydrolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBP1 PE=1 SV=2;UBP1;6,54E-01;0,671;0,685;0,705;0,771;0,842;0,773;22;13;19;13;92,7
P21965;Protein kinase MCK1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MCK1 PE=1 SV=1;MCK1;1,67E+00;0,487;0,499;0,486;0,515;0,529;0,541;39;13;19;12;43,1
P25555;Single-strand telomeric DNA-binding protein GBP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GBP2 PE=1 SV=1;GBP2;1,82E-01;2,474;2,354;2,505;2,701;2,617;2,657;34;13;19;13;48,7
P41697;Bud site selection protein 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BUD6 PE=1 SV=1;BUD6;5,26E-02;2,791;2,714;2,989;3,26;3,26;3,234;23;16;19;16;88,8
Q04894;NADP-dependent alcohol dehydrogenase 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADH6 PE=1 SV=1;ADH6;2,72E+00;0,803;0,84;0,831;0,735;0,76;0,751;46;11;19;11;39,6
P52917;Vacuolar protein sorting-associated protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPS4 PE=1 SV=1;VPS4;4,39E-01;2,057;2,022;2,05;2,01;2,155;2,037;34;12;19;12;48,1
P22023;Killer toxin-resistance protein 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KRE5 PE=1 SV=2;KRE5;9,41E-02;0,868;0,862;0,865;1,006;1,017;1,031;15;17;19;17;156,4
Q12008;Phosphoglycerate mutase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GPM2 PE=1 SV=1;GPM2;3,09E-01;1,554;1,382;1,454;1,189;1,327;1,328;47;12;18;11;36,1
Q12074;Spermidine synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPE3 PE=3 SV=1;SPE3;5,87E-01;5,087;5,191;5,076;5,315;5,163;5,081;38;8;18;8;33,3
P40557;ER-retained PMA1-suppressing protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EPS1 PE=1 SV=1;EPS1;1,36E-01;1,066;1,096;1,117;1,287;1,293;1,281;20;14;18;14;81,2
P36101;tRNA threonylcarbamoyladenosine dehydratase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TCD2 PE=1 SV=1;TCD2;5,64E-01;0,702;0,736;0,716;0,786;0,809;0,784;36;13;18;13;50,2
P39958;Rab GDP-dissociation inhibitor OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GDI1 PE=1 SV=1;GDI1;1,94E+00;1,225;1,254;1,191;1,198;1,284;1,321;45;14;18;14;51,2
P47176;Branched-chain-amino-acid aminotransferase, cytosolic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BAT2 PE=1 SV=1;BAT2;3,16E+00;0,57;0,579;0,582;1,062;1,154;1,005;28;9;18;7;41,6
P09032;Translation initiation factor eIF-2B subunit gamma OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GCD1 PE=1 SV=3;GCD1;7,99E-02;1,412;1,426;1,444;1,667;1,569;1,556;25;12;18;12;65,7
P32892;ATP-dependent RNA helicase DRS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DRS1 PE=1 SV=2;DRS1;4,77E-01;0,877;0,877;0,842;1,009;1,075;1,076;19;14;18;14;84,8
P53128;Methylenetetrahydrofolate reductase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MET13 PE=1 SV=2;MET13;1,68E+00;0,918;0,933;0,891;0,361;0,343;0,366;19;10;18;10;68,5
P17505;Malate dehydrogenase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MDH1 PE=1 SV=2;MDH1;9,56E-01;1,592;1,678;1,646;1,675;1,737;1,831;38;10;18;10;35,6
P38295;Medium-chain fatty acid ethyl ester synthase/esterase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EHT1 PE=1 SV=1;EHT1;1,52E+00;0,487;0,517;0,496;0,519;0,526;0,543;32;12;18;12;51,2
Q03769;Epsin-5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ENT5 PE=1 SV=1;ENT5;2,88E-01;0,606;0,604;0,598;0,648;0,712;0,697;30;11;18;11;47,3
P41895;Transcription initiation factor IIF subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TFG1 PE=1 SV=2;TFG1;1,29E-01;1,275;1,335;1,308;1,728;1,44;1,468;22;14;18;14;82,1
Q12514;General negative regulator of transcription subunit 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NOT5 PE=1 SV=1;NOT5;4,17E-01;1,538;1,552;1,606;1,669;1,795;1,71;35;13;18;13;65,8
P20676;Nucleoporin NUP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NUP1 PE=1 SV=1;NUP1;9,19E-03;1,708;1,814;1,735;2,055;2,097;1,951;17;15;18;15;113,5
P29468;Poly(A) polymerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAP1 PE=1 SV=1;PAP1;6,47E-01;0,624;0,647;0,646;0,711;0,681;0,718;30;15;18;15;64,5
Q05518;Protein PAL1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAL1 PE=1 SV=1;PAL1;4,30E-02;0,902;0,875;0,901;1,001;0,958;0,942;33;12;18;12;55
P46151;Methylenetetrahydrofolate reductase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MET12 PE=1 SV=2;MET12;4,11E-01;1,067;1,065;1,075;1,096;1,09;1,123;21;13;18;13;73,9
P23293;Serine/threonine-protein kinase BUR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SGV1 PE=1 SV=1;SGV1;8,51E-02;0,74;0,723;0,743;0,847;0,802;0,798;20;14;18;14;74,2
P32263;Pyrroline-5-carboxylate reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRO3 PE=1 SV=1;PRO3;4,20E+00;2,62;2,749;2,575;2,565;2,442;2,462;32;8;18;8;30,1
P38217;Importin subunit beta-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KAP104 PE=1 SV=1;KAP104;3,77E-01;0,914;0,928;0,899;0,955;0,999;0,978;15;12;18;12;103,6
P32591;SWI/SNF complex subunit SWI3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SWI3 PE=1 SV=1;SWI3;4,73E-01;0,919;0,945;0,92;1,027;1,091;1,092;24;17;18;17;92,9
Q04409;Putative glucokinase-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EMI2 PE=1 SV=1;EMI2;7,79E-01;1,169;0,923;1,041;0,829;0,796;0,863;23;12;18;12;55,9
P07258;Carbamoyl-phosphate synthase arginine-specific small chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CPA1 PE=1 SV=1;CPA1;2,08E+00;3,568;3,901;3,564;0,607;0,624;0,632;27;12;18;12;45,3
P35845;Oxysterol-binding protein homolog 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SWH1 PE=1 SV=4;SWH1;9,27E-02;0,927;0,923;0,925;1,033;1,099;1,08;14;14;18;14;135
Q04869;Uncharacterized protein YMR315W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMR315W PE=1 SV=1;;6,51E-01;1,435;1,516;1,522;1,415;1,488;1,471;46;11;18;11;38,2
Q06385;Vacuolar protein sorting-associated protein 74 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPS74 PE=1 SV=1;VPS74;1,22E+00;1,527;1,517;1,51;1,426;1,506;1,555;38;10;18;10;39,3
P40075;Vesicle-associated membrane protein-associated protein SCS2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SCS2 PE=1 SV=3;SCS2;6,09E-01;5,503;5,673;5,334;5,299;5,548;5,759;45;8;18;8;26,9
Q00245;GTP-binding protein RHO3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RHO3 PE=1 SV=2;RHO3;1,11E+00;1,53;1,506;1,626;1,58;1,572;1,565;40;9;18;8;25,3
Q12206;Transcriptional modulator WTM2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=WTM2 PE=1 SV=1;WTM2;7,58E-02;1,819;1,796;1,887;1,891;1,868;1,851;40;14;18;14;51,9
P38932;Vacuolar protein sorting-associated protein 45 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPS45 PE=1 SV=2;VPS45;8,47E-02;1,116;1,117;1,163;1,258;1,293;1,272;21;12;18;12;67
P25373;Glutaredoxin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GRX1 PE=1 SV=1;GRX1;4,83E+00;1,473;1,363;1,421;1,627;1,765;1,712;54;6;18;6;12,4
P21375;Fumarate reductase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OSM1 PE=1 SV=3;OSM1;5,87E-02;1,375;1,408;1,418;1,432;1,443;1,494;20;11;18;11;55
P38795;Glutamine-dependent NAD(+) synthetase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=QNS1 PE=1 SV=1;QNS1;3,86E-01;1,037;1,049;1,045;1,066;1,057;1,067;25;14;18;14;80,6
Q02486;ARS-binding factor 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ABF2 PE=1 SV=1;ABF2;1,56E+01;0,422;0,437;0,409;0,418;0,489;0,499;38;8;18;8;21,5
P41920;Ran-specific GTPase-activating protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YRB1 PE=1 SV=1;YRB1;9,72E-02;5,898;6,11;5,794;6,711;6,695;6,7;36;4;18;4;22,9
P25293;Nucleosome assembly protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NAP1 PE=1 SV=2;NAP1;1,81E+00;2,233;2,188;2,147;2,146;2,392;2,149;28;9;18;9;47,9
P32332;Mitochondrial oxaloacetate transport protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OAC1 PE=1 SV=1;OAC1;4,61E+00;1,168;1,164;1,168;0,187;0,174;0,188;35;11;18;11;35,1
Q12080;Ribosome biogenesis protein NOP53 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NOP53 PE=1 SV=1;NOP53;2,26E-01;0,697;0,721;0,695;0,93;0,916;0,938;32;14;18;14;52,5
P00724;Invertase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SUC2 PE=1 SV=1;SUC2;2,27E+00;0,204;0,187;0,195;0,192;0,197;0,204;25;12;18;12;60,6
P53043;Serine/threonine-protein phosphatase T OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PPT1 PE=1 SV=1;PPT1;5,25E-01;0,533;0,55;0,558;0,699;0,712;0,69;28;13;18;13;58
P48362;Protein HGH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HGH1 PE=1 SV=2;HGH1;1,63E+00;0,854;0,822;0,867;0,958;0,962;0,964;32;11;18;11;44,9
P0C0V8;40S ribosomal protein S21-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS21A PE=1 SV=1;RPS21A;;5,45;6,005;5,459;7,033;7,232;6,055;74;6;18;6;9,7
P40563;Altered inheritance of mitochondria protein 21 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AIM21 PE=1 SV=1;AIM21;4,58E-02;1,047;0,98;1,067;1,167;1,227;1,167;25;14;18;14;74,7
Q12028;AP-1 complex subunit gamma-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=APL4 PE=1 SV=1;APL4;1,54E-01;0,785;0,829;0,81;0,796;0,835;0,873;15;13;18;13;93,6
Q06488;Chromatin structure-remodeling complex subunit RSC2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSC2 PE=1 SV=1;RSC2;1,80E-01;0,898;0,937;0,933;0,992;0,962;0,971;15;11;18;11;102,2
P53953;SED5-binding protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SFB2 PE=1 SV=1;SFB2;1,58E-01;1,646;1,727;1,674;1,645;1,605;1,561;20;15;18;14;98,9
P23638;Proteasome subunit alpha type-3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRE9 PE=1 SV=1;PRE9;2,15E+00;2,489;2,424;2,462;2,473;2,668;2,543;47;11;18;11;28,7
Q02908;Elongator complex protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ELP3 PE=1 SV=1;ELP3;2,42E-01;1,232;1,282;1,231;1,533;1,45;1,458;27;14;18;14;63,6
P48837;Nucleoporin NUP57 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NUP57 PE=1 SV=1;NUP57;1,55E+00;0,926;0,982;0,932;1,106;1,107;1,117;22;12;18;12;57,5
Q02875;SMY2 homolog 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SYH1 PE=1 SV=1;SYH1;9,17E-02;0,763;0,726;0,786;0,863;0,88;0,873;19;13;18;13;94,3
P07256;Cytochrome b-c1 complex subunit 1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COR1 PE=1 SV=1;COR1;1,13E+01;0,513;0,509;0,53;0,519;0,512;0,526;32;12;18;12;50,2
Q12018;Cell division control protein 53 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC53 PE=1 SV=1;CDC53;4,16E-01;0,625;0,617;0,611;0,616;0,611;0,63;20;15;18;15;93,9
Q03653;Protein EFR3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EFR3 PE=1 SV=1;EFR3;9,85E-02;1,272;1,256;1,308;1,49;1,417;1,448;20;14;17;14;89,1
Q01802;Aspartate aminotransferase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AAT1 PE=1 SV=2;AAT1;4,70E-01;0,704;0,689;0,705;0,592;0,582;0,597;28;11;17;11;51,8
P32561;Histone deacetylase RPD3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPD3 PE=1 SV=1;RPD3;6,59E-02;1,774;1,793;1,846;1,744;1,897;1,845;31;11;17;11;48,9
P27801;Vacuolar membrane protein PEP3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PEP3 PE=1 SV=1;PEP3;8,66E-02;1,316;1,274;1,374;1,408;1,386;1,404;17;14;17;14;107,3
P47160;Epsin-3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ENT3 PE=1 SV=1;ENT3;1,20E+00;0,95;0,923;0,931;0,881;0,956;0,974;36;12;17;12;45,1
P53011;Nucleoporin SEH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEH1 PE=1 SV=1;SEH1;1,92E-01;1,081;1,102;1,034;1,168;1,111;1,089;38;11;17;11;39,1
P25382;Ribosome assembly protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSA4 PE=1 SV=3;RSA4;1,40E-01;1,211;1,225;1,275;1,59;1,555;1,526;28;14;17;14;57
P32353;Delta(7)-sterol 5(6)-desaturase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG3 PE=1 SV=1;ERG3;1,94E+00;0,748;0,833;0,85;0,517;0,699;0,594;20;8;17;8;42,7
P38152;Tricarboxylate transport protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CTP1 PE=2 SV=3;CTP1;3,01E+00;1,051;1,048;1,088;0,169;0,143;0,161;23;8;17;8;32,2
P46675;Protein STU2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STU2 PE=1 SV=1;STU2;1,06E-01;0,745;0,719;0,721;0,757;0,811;0,79;12;13;17;13;100,9
P39985;DNA polymerase V OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=POL5 PE=1 SV=1;POL5;5,23E-01;0,778;0,784;0,795;0,946;0,956;0,936;13;14;17;14;115,8
P25605;Acetolactate synthase small subunit, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ILV6 PE=1 SV=2;ILV6;4,86E+00;1,821;1,858;1,831;1,112;1,14;1,14;30;7;17;7;34
P23595;Serine/threonine-protein phosphatase PP2A-2 catalytic subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PPH22 PE=1 SV=1;PPH22;1,78E-01;1,944;2,089;2,602;2,494;2,273;2,067;48;11;17;2;43
P36136;Sedoheptulose 1,7-bisphosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SHB17 PE=1 SV=1;SHB17;1,32E+00;1,763;1,733;1,762;1,655;1,713;1,702;37;8;17;8;31
Q08220;Glutathione synthetase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GSH2 PE=1 SV=1;GSH2;1,01E+00;0,772;0,78;0,752;0,809;0,806;0,815;35;12;17;12;55,8
P38716;Uncharacterized trans-sulfuration enzyme YHR112C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YHR112C PE=1 SV=1;;8,33E-01;1,613;1,623;1,679;0,54;0,596;0,601;37;11;17;11;42,4
P43612;SIT4-associating protein SAP155 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SAP155 PE=1 SV=4;SAP155;4,12E-01;0,946;0,864;1,007;0,978;0,975;1,009;21;16;17;16;114,9
Q03497;Serine/threonine-protein kinase STE20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STE20 PE=1 SV=1;STE20;4,45E-02;0,959;1,018;0,976;1,139;1,124;1,111;18;14;17;14;102,3
P53723;UPF0674 endoplasmic reticulum membrane protein YNR021W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNR021W PE=1 SV=3;;1,95E+00;1,258;1,289;1,247;1,416;1,365;1,397;24;10;17;10;47,1
P32867;Protein SSO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSO1 PE=1 SV=2;SSO1;5,65E-01;2,386;2,518;2,311;2,573;2,576;2,861;25;6;17;5;33,1
P32598;Serine/threonine-protein phosphatase PP1-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GLC7 PE=1 SV=1;GLC7;2,06E+00;1,532;1,514;1,552;1,795;1,76;1,782;33;8;17;8;35,9
Q01454;DNA polymerase alpha-binding protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CTF4 PE=1 SV=2;CTF4;8,78E-02;2,056;2,108;2,081;2,364;2,385;2,374;20;15;17;15;104,4
P09880;tRNA ligase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRL1 PE=1 SV=1;TRL1;1,65E-01;1,376;1,316;1,389;1,614;1,636;1,542;19;15;17;15;95,3
P53276;U3 small nucleolar RNA-associated protein 8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UTP8 PE=1 SV=1;UTP8;6,62E-01;1,113;1,108;1,241;1,154;1,12;1,171;22;13;17;13;80,1
P29496;Minichromosome maintenance protein 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MCM5 PE=1 SV=1;MCM5;1,89E+00;1,852;1,825;1,978;2,018;2,009;1,976;21;15;17;14;86,4
P39524;Probable phospholipid-transporting ATPase DRS2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DRS2 PE=1 SV=2;DRS2;3,30E-02;0,356;0,328;0,362;0,382;0,39;0,369;14;16;17;16;153,7
Q12453;Cytoplasmic export protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CEX1 PE=1 SV=1;CEX1;7,88E-01;0,977;0,807;0,861;1,149;1,021;0,98;19;13;17;13;84,7
P35719;Uncharacterized protein MRP8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRP8 PE=1 SV=1;MRP8;3,38E-01;4,895;4,594;4,974;4,237;4,689;4,532;46;9;17;9;25,1
P41832;Protein BNI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BNI1 PE=1 SV=3;BNI1;2,08E-02;2,63;2,617;2,697;3,112;3,062;3,05;9;15;17;15;219,5
P36006;Myosin-3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MYO3 PE=1 SV=4;MYO3;1,11E-01;1,311;1,31;1,389;1,287;1,414;1,331;12;14;17;12;142,4
Q08245;Protein ZEO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ZEO1 PE=1 SV=3;ZEO1;2,19E+00;1,401;1,363;1,406;1,124;1,396;1,268;48;5;17;5;12,6
Q99383;Nuclear polyadenylated RNA-binding protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HRP1 PE=1 SV=1;HRP1;2,37E-01;1,438;1,555;1,502;1,897;1,841;1,765;32;11;17;11;59,6
P07703;DNA-directed RNA polymerases I and III subunit RPAC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPC40 PE=1 SV=1;RPC40;3,70E-01;2,26;2,434;2,291;2,578;2,661;2,665;34;10;17;10;37,7
P23641;Mitochondrial phosphate carrier protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MIR1 PE=1 SV=1;MIR1;2,41E+01;0,09;0,092;0,091;0,083;0,087;0,091;32;8;17;8;32,8
P53844;Phosphatidylinositol transfer protein PDR17 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDR17 PE=1 SV=1;PDR17;3,28E-01;1,851;1,755;1,816;2,01;1,939;1,982;34;11;17;11;40,7
Q06142;Importin subunit beta-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KAP95 PE=1 SV=1;KAP95;2,10E+00;1,387;1,439;1,411;1,489;1,455;1,414;15;10;17;10;94,7
P36010;Nucleoside diphosphate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNK1 PE=1 SV=1;YNK1;4,15E+01;0,186;0,187;0,192;0,24;0,243;0,252;60;8;17;8;17,2
Q12149;Exosome complex exonuclease RRP6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RRP6 PE=1 SV=1;RRP6;1,08E-01;0,929;0,956;0,928;1,039;1,065;1,05;19;11;17;11;84
P39006;Phosphatidylserine decarboxylase proenzyme 1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PSD1 PE=1 SV=1;PSD1;2,27E-01;0,834;0,862;0,888;1,132;1,139;1,115;29;12;17;12;56,6
P38822;Protein BZZ1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BZZ1 PE=1 SV=1;BZZ1;5,43E-01;1,406;1,286;1,461;1,471;1,515;1,419;30;16;17;16;71,1
P40469;DNA repair/transcription protein MET18/MMS19 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MET18 PE=1 SV=1;MET18;3,67E-01;0,552;0,553;0,557;0,577;0,577;0,587;15;15;17;15;117,8
Q04067;Eukaryotic translation initiation factor 3 subunit G OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIF35 PE=1 SV=1;TIF35;2,04E+00;0,87;0,911;0,867;1,112;1,115;1,111;31;7;17;7;30,5
P40008;Protein FMP52, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FMP52 PE=1 SV=1;FMP52;4,98E+00;0,565;0,561;0,567;0,491;0,498;0,529;49;10;17;10;25,1
