Accession;Description;Coverage_%;Peptides;PSMs;Unique_Peptides;MW_kDa;Rich_1;Rich_2;Rich_3;Min_1;Min_2;Min_3
P33310;ATP-dependent permease MDL1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MDL1 PE=1 SV=2;18;12;15;11;75,9;0,83;0,853;0,728;0,765;0,704;0,545
Q12233;ATP synthase subunit g, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATP20 PE=1 SV=1;47;6;15;6;12,9;0,644;0,611;0,769;0,562;0,562;0,614
P25567;RNA-binding protein SRO9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SRO9 PE=1 SV=2;17;7;15;7;48;1,506;1,437;0,823;1,159;0,957;0,56
Q99288;Broad-range acid phosphatase DET1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DET1 PE=1 SV=1;29;11;15;11;39,1;1,308;1,458;1,218;1,101;1,48;1,459
P00812;Arginase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CAR1 PE=1 SV=1;17;8;15;8;35,6;2,569;2,714;2,929;0,459;0,431;0,536
P40468;Cell morphogenesis protein PAG1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TAO3 PE=1 SV=1;6;14;15;14;269,7;0,431;0,434;0,448;0,411;0,391;0,341
P32916;Signal recognition particle receptor subunit alpha homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SRP101 PE=1 SV=2;19;9;15;9;69,2;0,8;0,813;0,714;0,744;0,716;0,656
P32504;Centromere DNA-binding protein complex CBF3 subunit A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CBF2 PE=1 SV=1;11;12;15;12;111,8;0,651;0,673;0,477;0,653;0,536;0,35
Q12265;Ribose-phosphate pyrophosphokinase 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRS5 PE=1 SV=1;22;11;15;11;53,5;1,72;1,711;1,599;1,713;1,591;2,073
P34216;EH domain-containing and endocytosis protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EDE1 PE=1 SV=2;7;10;15;10;150,7;0,975;1,012;0,58;0,896;0,845;0,553
Q03834;DNA mismatch repair protein MSH6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MSH6 PE=1 SV=1;13;13;15;13;140;0,961;0,945;0,79;0,866;0,724;0,713
P38113;Alcohol dehydrogenase 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADH5 PE=1 SV=1;12;4;15;3;37,6;1,372;1,428;1,327;1,224;1,39;1,217
P33767;Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit WBP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=WBP1 PE=1 SV=1;26;10;15;10;49,4;1,1;1,114;0,811;1,091;1,015;0,633
P14180;Chitin synthase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CHS2 PE=1 SV=1;14;11;15;11;109,8;0,948;0,929;0,867;0,772;0,758;0,626
P15274;AMP deaminase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AMD1 PE=1 SV=2;15;11;15;11;93,2;0,971;0,994;0,849;0,85;0,798;0,819
Q6Q560;Protein ISD11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ISD11 PE=1 SV=1;68;8;15;8;11,3;0,682;0,702;0,893;0,642;0,654;0,659
P53868;Alpha-1,2-mannosyltransferase ALG9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALG9 PE=1 SV=1;19;9;15;9;63,7;0,683;0,656;0,545;0,626;0,582;0,466
P42846;Protein KRI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KRI1 PE=1 SV=1;17;10;15;10;68,6;1,763;1,768;1,125;1,507;1,281;0,694
P23201;Protein SPA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPA2 PE=1 SV=1;8;11;15;11;163;1,29;1,314;1,044;1,218;1,058;0,836
P32899;U3 small nucleolar ribonucleoprotein protein IMP3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IMP3 PE=1 SV=1;56;10;15;10;21,9;1,276;1,386;1,39;0,885;0,929;1,178
P39987;Heat shock protein SSC3, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ECM10 PE=3 SV=1;13;8;15;1;70;1,621;1,371;1,49;1,308;1,674;1,723
P51534;SWI5-dependent HO expression protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SHE4 PE=1 SV=2;15;11;15;11;89,5;0,445;0,422;0,278;0,446;0,355;0,202
P39925;Mitochondrial respiratory chain complexes assembly protein AFG3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AFG3 PE=1 SV=1;15;10;15;8;84,5;1,242;1,161;0,792;1,056;0,912;0,557
Q06151;m7GpppX diphosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DCS1 PE=1 SV=1;39;11;15;11;40,7;1,002;1,039;0,879;0,796;0,914;1,124
P35997;40S ribosomal protein S27-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS27A PE=1 SV=1;46;4;15;4;8,9;1,406;1,353;1,411;1,273;1,694;2,13
Q12464;RuvB-like protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RVB2 PE=1 SV=1;20;8;15;8;51,6;0,814;0,837;0,703;0,653;0,805;1,062
P53551;Histone H1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HHO1 PE=1 SV=1;35;10;15;10;27,8;0,83;0,861;0,883;0,951;0,899;0,925
P40078;Ribosome biogenesis protein NSA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NSA2 PE=1 SV=1;27;9;15;9;29,7;1,419;1,564;2,803;1,202;1,393;1,871
Q12512;Protein ZPS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ZPS1 PE=3 SV=1;28;8;15;8;27,5;3,235;2,836;2,564;0,294;0,309;0,332
P38427;Trehalose synthase complex regulatory subunit TSL1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TSL1 PE=1 SV=1;13;14;15;13;122,9;0,35;0,347;0,357;0,334;0,308;0,283
Q12462;Peroxisomal membrane protein PMP27 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PEX11 PE=1 SV=2;29;8;15;8;26,9;0,254;0,245;0,149;0,378;0,289;0,088
P06782;Carbon catabolite-derepressing protein kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SNF1 PE=1 SV=1;18;10;15;10;72;0,63;0,629;0,48;0,596;0,495;0,324
P61830;Histone H3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HHT1 PE=1 SV=2;24;5;15;5;15,3;0,588;0,615;0,937;0,691;0,715;0,921
P11914;Mitochondrial-processing peptidase subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MAS2 PE=1 SV=1;30;13;15;13;53,3;1,154;1,145;1,253;1,268;1,305;1,994
P53877;Pre-rRNA-processing protein IPI3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IPI3 PE=1 SV=1;24;11;15;11;61,7;1,139;1,205;1,015;1,024;1,027;1,044
P40086;Cytochrome c oxidase assembly protein COX15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COX15 PE=3 SV=1;17;9;15;9;54,6;0,491;0,51;0,399;0,488;0,418;0,213
P53327;Antiviral helicase SLH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SLH1 PE=1 SV=2;6;12;15;12;224,7;0,877;0,865;0,835;0,791;0,732;0,676
P43555;Protein EMP47 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EMP47 PE=1 SV=1;22;9;15;9;50,3;0,81;0,82;0,448;0,744;0,597;0,297
P40515;Mitochondrial fission 1 protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FIS1 PE=1 SV=1;41;6;15;6;17,7;0,96;0,945;0,886;0,821;0,756;0,684
P48813;High-affinity glutamine permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GNP1 PE=1 SV=2;13;10;15;10;73,6;2,538;2,641;1,689;1,136;0,961;0,495
P53115;Putative DNA helicase INO80 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=INO80 PE=1 SV=1;8;12;15;12;171,3;0,751;0,751;0,573;0,73;0,623;0,472
P20485;Choline kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CKI1 PE=1 SV=1;14;9;15;9;66,3;0,754;0,703;0,458;0,68;0,553;0,381
P38694;Putative aldehyde dehydrogenase-like protein YHR039C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MSC7 PE=1 SV=1;21;12;15;12;71,3;1,13;1,176;0,965;1,177;1,112;1,1
P40564;DnaJ-like protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DJP1 PE=1 SV=1;23;12;15;12;48,5;0,963;0,967;0,694;1,173;0,976;0,653
P19145;General amino-acid permease GAP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GAP1 PE=1 SV=2;12;10;15;10;65,6;0,01;0,01;0,012;0,025;0,022;0,014
P38351;RNA polymerase II-associated protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAF1 PE=1 SV=1;34;11;15;11;51,8;1,422;1,444;0,98;1,227;1,15;0,872
P89102;Exocyst complex component SEC5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC5 PE=1 SV=1;13;13;15;13;112,1;0,895;0,925;0,81;0,823;0,714;0,578
Q07457;E3 ubiquitin-protein ligase BRE1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BRE1 PE=1 SV=1;21;13;15;13;80,6;0,65;0,638;0,354;0,615;0,481;0,269
P38821;Aspartyl aminopeptidase 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=APE4 PE=1 SV=1;28;12;15;12;54,1;0,271;0,274;0,363;0,263;0,24;0,247
Q12271;Polyphosphatidylinositol phosphatase INP53 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=INP53 PE=1 SV=1;10;10;15;9;124,5;0,907;0,932;0,591;0,885;0,714;0,427
P47039;Probable kynurenine--oxoglutarate transaminase BNA3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BNA3 PE=1 SV=1;27;12;15;12;50,1;0,253;0,26;0,267;1,042;1,064;1,128
Q08421;Enhancer of translation termination 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ETT1 PE=1 SV=1;19;10;15;10;47,3;1,042;1,058;0,426;1,06;0,752;0,257
P17423;Homoserine kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=THR1 PE=1 SV=4;25;10;15;10;38,7;1,338;1,418;1,136;1,377;1,756;1,999
P36150;Uroporphyrinogen-III C-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MET1 PE=1 SV=1;13;10;15;10;66,1;0,084;0,088;0,101;1,278;1,148;1,04
P32333;TATA-binding protein-associated factor MOT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MOT1 PE=1 SV=1;8;13;15;13;209,8;0,817;0,75;0,454;0,87;0,655;0,357
P38910;10 kDa heat shock protein, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP10 PE=1 SV=1;21;3;15;3;11,4;1,174;1,139;1,151;1,039;1,281;1,486
P43635;Citrate synthase 3, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CIT3 PE=1 SV=1;24;11;14;11;53,8;0,801;0,78;1,16;0,64;0,696;0,706
P53276;U3 small nucleolar RNA-associated protein 8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UTP8 PE=1 SV=1;15;10;14;10;80,1;1,167;1,137;0,695;1,031;0,814;0,405
P29465;Chitin synthase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CHS3 PE=1 SV=3;8;10;14;10;131,5;1,176;1,257;0,861;1,033;0,884;0,602
Q00764;Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 56 kDa subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPS1 PE=1 SV=2;23;10;14;10;56,1;0,619;0,642;0,566;0,604;0,59;0,624
P27809;Glycolipid 2-alpha-mannosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KRE2 PE=1 SV=1;21;8;14;8;51,4;1,263;1,275;1,21;1,003;1,093;1,007
P26263;Pyruvate decarboxylase isozyme 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDC6 PE=1 SV=3;9;5;14;3;61,5;0,715;0,672;0,652;0,79;0,695;0,726
Q06511;Ribosomal RNA-processing protein 15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RRP15 PE=1 SV=1;28;10;14;10;28,2;1,473;1,534;1,346;1,335;1,113;0,887
P32832;Chromatin structure-remodeling complex subunit RSC7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NPL6 PE=1 SV=1;28;11;14;11;49,6;1,04;1,024;0,646;1,031;0,979;0,815
P15496;Isopentenyl-diphosphate Delta-isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IDI1 PE=1 SV=2;30;8;14;8;33,3;0,727;0,69;0,597;0,705;0,589;0,554
P25617;Uncharacterized protein YCR016W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YCR016W PE=1 SV=2;20;7;14;7;33,6;0,832;0,88;0,488;0,664;0,5;0,308
P53045;Methylsterol monooxygenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG25 PE=1 SV=1;8;5;14;5;36,5;1,415;1,488;1,538;1,576;1,481;1,088
Q12466;Tricalbin-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TCB1 PE=1 SV=1;7;9;14;9;133,5;1,306;1,335;1,193;1,13;1,367;1,254
Q07938;S-methyl-5'-thioadenosine phosphorylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MEU1 PE=1 SV=1;20;7;14;7;37,8;0,983;1,09;0,886;1,007;1,346;1,453
P47102;ARF guanine-nucleotide exchange factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GEA1 PE=1 SV=1;8;13;14;10;159,3;0,727;0,695;0,359;0,69;0,551;0,209
P41819;Dimethyladenosine transferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DIM1 PE=3 SV=1;36;12;14;12;35,9;1,55;1,632;1,683;1,377;1,426;1,724
Q08199;Nucleotide exchange factor SIL1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SIL1 PE=1 SV=1;19;8;14;8;48,2;0,643;0,629;0,416;0,542;0,414;0,257
P07170;Adenylate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADK1 PE=1 SV=2;44;10;14;10;24,2;1,277;1,142;1,206;1,302;1,418;2,355
P49367;Homoaconitase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LYS4 PE=1 SV=1;16;10;14;10;75,1;0,244;0,299;0,263;1,183;1,128;1,069
P30619;Protein transport protein SEC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC1 PE=1 SV=1;16;10;14;10;83,4;0,912;0,906;0,835;0,858;0,981;0,958
P40541;Cohesin subunit SCC3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IRR1 PE=1 SV=1;9;12;14;12;132,9;0,915;0,902;0,579;0,882;0,708;0,389
P40064;Nucleoporin NUP157 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NUP157 PE=1 SV=1;8;13;14;13;156,6;0,755;0,719;0,471;0,714;0,574;0,318
P53228;Transaldolase NQM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NQM1 PE=1 SV=1;17;6;14;5;37,2;1,027;0,954;0,758;1,003;0,774;0,588
P51601;GTP cyclohydrolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FOL2 PE=1 SV=1;40;11;14;11;27,8;0,606;0,55;0,504;0,939;0,727;0,508
P10507;Mitochondrial-processing peptidase subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MAS1 PE=1 SV=1;20;10;14;10;51,1;0,573;0,602;0,583;0,549;0,464;0,469
P14743;Glycylpeptide N-tetradecanoyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NMT1 PE=1 SV=1;19;8;14;8;52,8;1,199;1,198;0,953;1,145;1,008;0,761
P40030;Ergosterol biosynthetic protein 28 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG28 PE=1 SV=1;26;5;14;5;17,1;0,605;0,542;0,333;0,43;0,44;0,219
P38810;SED5-binding protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SFB3 PE=1 SV=1;11;9;14;9;103,9;0,842;0,844;0,613;0,748;0,628;0,473
P38883;Pre-rRNA-processing protein RIX1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RIX1 PE=1 SV=2;18;11;14;11;86,7;1,003;0,972;0,693;0,834;0,658;0,691
P25369;LAS seventeen-binding protein 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LSB5 PE=1 SV=3;22;8;14;8;39,8;0,733;0,759;0,672;0,754;0,668;0,538
P38079;Protein YRO2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YRO2 PE=1 SV=1;18;6;14;2;38,7;0,675;0,681;0,612;0,48;0,399;0,225
Q07551;NADPH-dependent alpha-keto amide reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDL124W PE=1 SV=1;25;8;14;8;35,5;0,666;0,664;0,521;0,528;0,542;0,475
P47160;Epsin-3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ENT3 PE=1 SV=1;26;9;14;9;45,1;0,567;0,577;0,403;0,566;0,464;0,303
P32379;Proteasome subunit alpha type-5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PUP2 PE=1 SV=2;29;8;14;8;28,6;1,239;1,078;0,277;1,211;0,892;0,118
P38996;Nuclear polyadenylated RNA-binding protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NAB3 PE=1 SV=1;11;8;14;8;90,4;0,86;0,9;0,717;0,751;0,724;0,633
P35845;Oxysterol-binding protein homolog 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SWH1 PE=1 SV=4;11;13;14;13;135;0,968;0,946;0,791;0,803;0,739;0,589
P35197;ADP-ribosylation factor GTPase-activating protein GCS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GCS1 PE=1 SV=1;38;9;14;9;39,3;1,022;1,052;1,099;0,941;0,972;1,01
P38087;Carrier protein YMC2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMC2 PE=1 SV=1;25;9;14;9;36,5;0,896;0,951;0,897;1,018;0,913;0,878
Q07505;Putative carboxymethylenebutenolidase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDL086W PE=1 SV=1;34;7;14;7;30,8;0,525;0,513;0,585;0,619;0,599;0,605
P40040;Protein THO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=THO1 PE=1 SV=1;33;9;14;9;24,1;0,918;0,879;0,645;1,528;1,486;1,131
Q00711;Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SDH1 PE=1 SV=1;15;10;14;8;70,2;0,69;0,807;0,61;0,483;0,813;1,112
P53866;Protein SQS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SQS1 PE=1 SV=1;11;10;14;10;86,9;1,201;1,19;0,992;1,146;1,219;1,023
P29469;DNA replication licensing factor MCM2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MCM2 PE=1 SV=2;13;10;14;9;98,7;0,991;0,953;0,852;0,999;0,878;0,824
P36094;Spindle pole body component SPC42 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPC42 PE=1 SV=1;24;9;14;9;42,2;0,641;0,633;0,516;0,587;0,483;0,383
P00724;Invertase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SUC2 PE=1 SV=1;19;9;14;9;60,6;0,282;0,263;0,508;0,274;0,325;0,391
Q05123;Actin-like protein ARP9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARP9 PE=1 SV=1;18;9;14;9;53;0,582;0,552;0,433;0,586;0,462;0,333
Q04773;Uncharacterized protein YMR074C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMR074C PE=1 SV=1;60;11;14;11;16;1,265;1,174;0,846;0,928;0,753;0,514
P48567;tRNA pseudouridine synthase 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PUS4 PE=1 SV=1;29;12;14;12;45,2;1,534;1,541;1,28;1,151;1,083;0,961
P21826;Malate synthase 2, glyoxysomal OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DAL7 PE=1 SV=2;14;9;14;5;62,8;0,026;0,024;0,029;0,06;0,053;0,045
Q12452;3-keto-steroid reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG27 PE=1 SV=1;22;9;14;9;39,7;1,35;1,349;0,918;1,101;0,951;0,554
P38903;Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RTS1 PE=1 SV=2;15;10;14;10;85,3;0,561;0,559;0,353;0,519;0,435;0,255
P25808;ATP-dependent rRNA helicase SPB4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPB4 PE=1 SV=1;17;11;14;11;69,4;1,448;1,496;1,448;1,261;1,239;1,244
Q99257;mRNA export factor MEX67 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MEX67 PE=1 SV=1;17;8;14;8;67,3;1,289;1,382;1,209;1,19;1,123;1,106
Q02773;Ribonuclease P protein component, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPM2 PE=1 SV=1;8;10;14;10;139,3;0,828;0,8;0,695;0,681;0,577;0,522
P34227;Peroxiredoxin PRX1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRX1 PE=1 SV=1;33;8;14;8;29,5;0,645;0,651;0,592;0,519;0,616;0,672
P32796;Carnitine O-acetyltransferase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CAT2 PE=1 SV=2;15;9;14;9;77,2;0,278;0,268;0,235;0,205;0,198;0,176
Q07953;Ribosome maturation protein SDO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SDO1 PE=1 SV=1;27;9;14;9;28,3;1,449;1,455;1,239;1,272;1,151;0,895
P53297;PAB1-binding protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PBP1 PE=1 SV=1;8;9;14;9;78,7;1,382;1,473;1,405;1,21;1,571;2,019
Q06096;Conserved oligomeric Golgi complex subunit 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COG4 PE=1 SV=1;11;9;14;9;98,6;1,333;1,116;1,823;1,356;1,309;1,645
Q12514;General negative regulator of transcription subunit 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NOT5 PE=1 SV=1;14;9;14;9;65,8;0,902;0,965;0,875;0,798;0,74;0,718
Q99316;Protein disulfide isomerase MPD2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MPD2 PE=1 SV=1;23;8;14;8;32,4;0,563;0,552;0,49;0,481;0,402;0,288
P53860;Phosphatidylinositol transfer protein PDR16 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDR16 PE=1 SV=1;25;10;14;10;40,7;0,601;0,579;0,461;0,655;0,645;0,661
P09232;Cerevisin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRB1 PE=1 SV=1;17;8;14;8;69,6;0,548;0,543;0,459;0,43;0,497;0,558
P53295;Ribosome-interacting GTPase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RBG2 PE=1 SV=1;23;9;14;9;41;1,64;1,637;1,47;1,3;1,481;1,335
Q03761;Transcription initiation factor TFIID subunit 12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TAF12 PE=1 SV=1;17;11;14;11;61;0,709;0,682;0,748;0,611;0,616;0,633
P48231;Tricalbin-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TCB2 PE=1 SV=1;8;12;14;12;132,4;0,846;0,879;0,845;0,841;0,878;0,877
P49954;Omega-amidase NIT3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NIT3 PE=1 SV=1;25;7;13;7;32,5;0,752;0,756;0,587;0,775;0,702;0,773
P36120;ATP-dependent RNA helicase DBP7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DBP7 PE=1 SV=1;14;9;13;9;83,3;1,411;1,335;1,393;1,224;1,122;0,947
P53278;Uncharacterized protein YGR130C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YGR130C PE=1 SV=1;20;11;13;11;92,6;0,848;0,852;0,465;0,741;0,625;0,223
P28777;Chorismate synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARO2 PE=1 SV=1;23;7;13;7;40,8;0,939;0,774;1,075;1,213;1,001;1,776
P33339;Transcription factor tau 131 kDa subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TFC4 PE=1 SV=1;12;9;13;9;120,2;0,726;0,71;0,559;0,718;0,598;0,365
P38716;Uncharacterized trans-sulfuration enzyme YHR112C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YHR112C PE=1 SV=1;28;11;13;11;42,4;0,579;0,588;0,791;1,292;1,426;1,345
P32614;Fumarate reductase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FRD1 PE=1 SV=1;14;9;13;9;50,8;0,502;0,522;0,445;0,549;0,454;0,396
P38695;Probable glucose transporter HXT5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT5 PE=1 SV=1;10;7;13;3;66,2;1,934;1,925;2,053;2,042;2,031;1,518
P40970;Serine palmitoyltransferase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LCB2 PE=1 SV=1;15;9;13;9;63,1;0,959;0,958;1,051;0,865;0,852;0,88
P32767;Importin beta-like protein KAP122 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KAP122 PE=1 SV=1;10;10;13;10;123,5;1,41;1,247;0,823;1,207;1,027;0,743
